airportname,latitude,longitude,count
Arlanda,59.651944,17.918611,168
Arnold Palmer Regional Airport,40.2759,-79.4048,2
Aro,62.744722,7.2625,3
Arrachart,-12.3494,49.291747,4
Arthurs Town Airport,24.629417,-75.673775,1
Arturo Merino Benitez Intl,-33.392975,-70.785803,57
Arturo Michelena Intl,10.149733,-67.9284,3
Arviat,61.094166,-94.070833,4
Asahikawa,43.670833,142.4475,2
Asheville Regional Airport,35.436194,-82.541806,4
Ashgabat,37.986814,58.360967,7
Asmara Intl,15.291853,38.910667,4
Aspen Pitkin County Sardy Field,39.2232,-106.869,1
Astana Intl,51.022222,71.466944,37
Astrakhan,46.283333,48.006278,2
Asturias,43.563567,-6.034622,12
Astypalaia,36.579886,26.375822,2
Aswan Intl,23.964356,32.819975,1
Asyut International Airport,27.046508,31.011983,1
Ataturk,40.976922,28.814606,290
Atlantic City Intl,39.457583,-74.577167,8
Atqasuk Edward Burnell Sr Memorial Airport,70.4673,-157.436,1
Attawapiskat Airport,52.9275,-82.4319,1
Atyrau,47.121944,51.821389,6
Auckland Intl,-37.008056,174.791667,71
Augusta Rgnl At Bush Fld,33.369944,-81.9645,2
Augusto Severo,-5.911417,-35.247717,11
Aupaluk Airport,59.2967,-69.5997,2
Aurangabad,19.862728,75.398114,1
Aurukun Airport,-13.3539,141.721,1
Austin Bergstrom Intl,30.194528,-97.669889,64
Austin Straubel Intl,44.485072,-88.129589,2
Auvergne,45.786661,3.169169,4
Axum,14.14675,38.772833,1
Ayers Rock,-25.186111,130.975556,1
Babelthuap,7.367303,134.544278,2
Bacolod,10.642511,122.929617,3
Baden Airpark,48.7793,8.08048,15
Bagan Intl,21.173833266,94.9246666,4
Bagdogra,26.681206,88.328567,9
Baghdad International Airport,33.262539,44.234578,2
Bagotville,48.330555,-70.996391,2
Bahawalpur Airport,29.3481,71.717981,3
Bahir Dar,11.608075,37.321644,1
Bahrain Intl,26.270834,50.63361,46
Baie Comeau,49.1325,-68.204444,3
Bailian Airport,24.2075,109.391,8
Baita Airport,40.851422,111.824103,70
Baiyun Intl,23.392436,113.298786,282
Baker Lake,64.298889,-96.077778,3
Balandino,55.305836,61.503333,13
Bale Mulhouse,47.589583,7.529914,5
Bali Ngurah Rai,-8.748169,115.167172,67
Balice,50.077731,19.784836,45
Ballina Byron Gateway,-28.833889,153.5625,2
Balmaceda,-45.916058,-71.689475,2
Baltimore Washington Intl,39.175361,-76.668333,125
Bandar Abbass Intl,27.218317,56.37785,14
Bandaranaike Intl Colombo,7.180756,79.884117,76
Bangalore,12.949986000000001,77.668206,69
Bangor Intl,44.807444,-68.828139,4
Banja Luka International Airport,44.941444,17.297501,1
Banjul Intl,13.337961,-16.652206,4
Baoan Intl,22.639258,113.810664,203
Baotou Airport,40.56,109.997,16
Barajas,40.493556,-3.566764,261
Barataevka,54.268299,48.2267,1
Barcelona,41.297078,2.078464,322
Bari,41.138856,16.760594,34
Bario Airport,3.73389,115.479,1
Barnstable Muni Boardman Polando Fld,41.669336,-70.280356,1
Barquisimeto Intl,10.042747,-69.358619,1
Barreiras Airport,-12.083333,-45.0,3
Barter Island Lrrs,70.133989,-143.581867,1
Bartolomeu Lisandro,-21.698333,-41.301669,2
Bassillac,45.198055,0.815556,1
Bata,1.905469,9.805681,1
Bateen,24.428333,54.458084,3
Bathurst Airport,-33.4094,149.652,1
Batman,37.928969,41.116583,1
Batna Airport,35.752106,6.308589,3
Baton Rouge Metro Ryan Fld,30.533167,-91.149639,2
Batsfjord,70.600278,29.6925,4
Batumi,41.610278,41.599694,1
Bauru-Arealva,-22.157778,-49.068333,1
Bayankhongor Airport,46.1633,100.704,1
Bayannur,40.926389,107.738889,2
Bearskin Lake Airport,53.9656,-91.0272,3
Beaver Airport,66.362222,-147.406667,1
Bedourie Airport,-24.3461,139.46,1
Begishevo,55.34,52.06,3
Beihai Airport,21.5394,109.294,11
Beijing Nanyuan Airport,39.7825,116.387778,78
Beira,-19.796419,34.907556,5
Belbek Sevastopol International Airport,44.691431,33.57567,1
Belep Islands Airport,-19.7206,163.661,1
Belfast City,54.618056,-5.8725,15
Belfast Intl,54.6575,-6.215833,31
Belgorod International Airport,50.6438,36.5901,4
Belize City Municipal Airport,17.5344,-88.298,7
Bella Bella Airport,52.139722,-128.063611,2
Bella Coola Airport,52.3875,-126.596,1
Bellegarde,45.862778,1.179444,6
Bellingham Intl,48.792694,-122.537528,8
Bellona,-11.302,159.8,1
Beloyarsky,63.683056,66.683056,2
Ben Gurion,32.011389,34.886667,79
Benbecula,57.481111,-7.362778,1
Benin,6.316981,5.599503,1
Benina,32.096786,20.269472,17
Beograd,44.818444,20.309139,58
Berbera,10.389167,44.941106,5
Bergamo Orio Al Serio,45.673889,9.704166,74
Berlevag,70.866667,29.0,3
Bermuda Intl,32.364042,-64.678703,6
Bern Belp,46.9141,7.497153,11
Bethel,60.779778,-161.838,25
Bettles,66.913944,-151.529056,3
Bhopal,23.287467,77.337375,3
Bhubaneshwar,20.244364,85.817781,7
Biard,46.587745,0.306666,4
Big Trout Lake Airport,53.8178,-89.8969,3
Bijie Feixiong Airport,27.253,105.426,3
Bilbao,43.301097,-2.910608,47
Billings Logan International Airport,45.80921,-108.537654,7
Billund,55.740322,9.151778,33
Bingol,38.86111,40.5925,1
Binhai,39.124353,117.346183,120
Bintulu,3.12385,113.020472,5
Birdsville Airport,-25.8975,139.348,1
Birjand,32.898056,59.266111,1
Birmingham,52.453856,-1.748028,107
Birmingham Intl,33.562942,-86.75355,24
